,Date,Origin ID,Origin Name,Destination ID,Destination Name,Daily Mean Travel Time,Daily Range - Lower,Daily Range - Upper,AM Mean Travel Time,AM Range - Lower,AM Range - Upper,PM Mean Travel Time,PM Range - Lower Bound Travel Time,PM Range - Upper Bound Travel Time,Midday Mean Travel Time,Midday Range - Lower,Midday Range - Upper,Evening Mean Travel Time,Evening Range - Lower,Evening Range - Upper,Early Morning Mean Travel Time,Early Morning Range - Lower,Early Morning Range - Upper,weekday,pred_daily_mean,month
1082,2019-04-25,3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",616.0,366.0,1036.0,866.0,566.0,1325.0,726.0,414.0,1274.0,530.0,362.0,775.0,577.0,355.0,936.0,365.0,217.0,615.0,3,692.12327577724,5
1083,2019-05-18,3692,"2nd Street and Stevenson Street, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",429.0,255.0,722.0,386.0,271.0,550.0,533.0,362.0,783.0,439.0,271.0,710.0,381.0,213.0,679.0,445.0,265.0,748.0,5,560.9467199064693,6
1084,2019-05-20,3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1435.0,1200.0,1717.0,1421.0,1185.0,1703.0,1529.0,1246.0,1876.0,1429.0,1240.0,1647.0,1288.0,1055.5,1603.0,1006.5,849.5,1193.0,0,1395.7241424283059,6
1085,2019-06-06,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1346.0,1072.0,1691.0,1321.0,1173.0,1488.0,1400.0,1286.0,1524.0,1441.0,1109.0,1873.0,1186.0,998.0,1409.0,763.0,595.0,1000.9508901166364,3,1259.6078926349326,7
1086,2019-06-26,3692,"2nd Street and Stevenson Street, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",805.0,553.0,1173.0,925.0,721.0,1186.0,859.0,613.0,1204.0,903.0,605.0,1346.0,702.0,521.0,945.0,424.0,359.0,501.0,2,763.5693486586767,7
1087,2019-05-16,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1187.0,940.0,1500.0,1321.0,1173.0,1488.0,1355.0,966.0,1900.0,1131.0,987.0,1296.0,1074.0,915.0,1260.0,697.5,545.0,923.3195211786374,3,1250.2354197896295,6
1088,2019-06-09,3692,"2nd Street and Stevenson Street, San Francisco, CA",3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",734.0,520.0,1035.0,526.0,372.0,744.0,813.0,575.0,1148.0,773.0,570.0,1047.0,659.0,482.0,901.0,493.0,385.0,632.0,6,677.2790431999348,7
1089,2019-05-15,3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1112.0,776.0,1591.0,1189.0,815.0,1737.0,1450.0,1098.0,1914.0,1021.0,813.0,1282.0,971.0,718.0,1313.0,780.0,545.0,1115.0,2,965.5659243895924,6
1090,2019-05-03,3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",3692,"2nd Street and Stevenson Street, San Francisco, CA",1029.0,763.0,1390.0,1056.0,798.0,1398.0,1213.0,892.0,1649.0,1091.0,818.0,1455.0,893.0,708.0,1125.0,677.5,549.5,815.5,4,975.8435118206627,6
1091,2019-05-23,3692,"2nd Street and Stevenson Street, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1253.0,1044.0,1504.0,1321.0,1173.0,1488.0,1352.0,1087.0,1682.0,1257.0,1183.0,1335.0,1275.0,1073.0,1515.0,730.0,560.0,945.0,3,1250.2354197896295,6
1092,2019-04-24,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3396,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1325.0,869.0,2020.0,1285.0,1041.5,1567.0,1458.5356046654388,1169.0,1820.0,1371.0,1086.0,1670.0,1235.0,1055.5,1448.5,756.0,577.0,979.2288213627992,2,1354.5734945552692,5
1093,2019-06-25,3394,"Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",975.0,804.0,1181.0,998.0,852.0,1169.0,1120.0,932.0,1345.0,848.0,723.0,993.0,897.0,821.0,979.0,1228.0,819.5,1859.0,1,1033.966428446729,7
1094,2019-04-16,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",564.0,438.0,727.0,528.0,456.0,611.0,921.5,653.5,1256.5,588.0,439.0,788.0,697.5,518.0,911.0,704.0,537.0,924.0,1,695.70624557935,5
1095,2019-06-02,3760,"Powell BART Station, Market St and Powell St, San Francisco, CA",3792,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",562.0,361.0,875.0,469.0,359.0,621.0,773.0,515.5,1193.5,557.0,398.0,780.0,560.5,461.5,732.0,779.0,518.0,1172.0,6,633.3860487070381,7
